Sistemas Operacionais,4,8.50
Redes de Computadores I,3,8.70
Engenharia de Software,4,7.27
Redes Neurais,4,9.70
Inteligência Artificial e Computacional,5,8.50
Introdução a Ciência dos Materiais,4,8.00
Sistemas Digitais para Computação I,4,9.45
Física III,4,8.00
Laboratório de Física I,1,8.65
Álgebra Linear II,4,7.03
Processamento Digital de Sinais,4,9.25
