Física I,4,1.65
Linguagem de Programação I,4,9.25
Cálculo I,6,6.33
Álgebra Linear I,4,8.00
Introdução à Engenharia,2,10.00
Introdução às Ciências do Ambiente,2,9.38	
Química Geral,4,8.00
Comunicação e Expressão,4,7.47
