Redes de Computadores II,3,10.00
Tópicos Especiais em Computação I,4,10.00
Computação Gráfica e PDI,3,9.50
Projeto de Sistemas Embarcados,4,9.00
Tópicos Especiais em Computação II,4,9.65
Multimídia,4,9.25
Sistemas Distribuídos e Paralelos,3,6.00
