Física II,4,0.00
Fundamentos de Engenharia de Computação II,4,8.05
Circuitos Elétricos I,4,6.67
Laboratório de Circuítos Elétricos I,2,7.50
Cálculo IV,4,8.00
Cálculo Numérico,4,8.00
Cálculo II,5,6.20
